,Commit Message,HOW,Quality attributes changes,Code smells,Other,WHY,WHERE,WHAT,After fixing a bug,Before releasing the code,During code review ,After introducing major functional changes,WHEN,WHO,Severity/Importance of the fixed problem,Benefits from the introduced changes ,,,,Nbr components,
41,* Updated remaining readers to respect MetadataOptions. * Added bounds checking to MDB Tools' text field retrieval. * Reverted one of the changes to RandomAccessInputStream.findString in r6188.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
42,Additional tests for DDL generation without console added into hibernate ui tests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
43,Re-implement interfaces MultipleAlignment,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,1,
44,96171 [refactoring] Moving method with static import in body gives illegal result.,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,4,
45,119761 Syntax error reported at wrong location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
46,"everything passes, but imports are not happening, need to talk to brozow about this in the morning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
47,Use correct path to load domain versions with the getVersionShallow method.,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,,,,4,
48,capture sibTrans content,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
49,JERSEY-1814 Improve JDK Container to take custom SSLContext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
50,NXP-3393: remove deprecated methods on relation resource adapters,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,,,,5,
51,make PersistSnapshotsStep support Views Components,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,3,
52,"Add RAW type (not in use at this time, useful for things like variable names which should not get quoted). Moved JS string escaping into a static method for reuse.",1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,,,,7,
53,Fixed typo: hasSharedCacheLoadOrWriter -> hasSharedCacheLoaderOrWriter,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,1,
54,"Added getContainer() for per-plugin outer container with config set positioning. Added Spout-safe Title, Cloak and Skin methods.",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,4,
55,introduced a ByteBufferInputRowParser to keep the old StringInputRowParser in places outside the KafkaFireHose,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,4,
56,Refactoring for improved MVC architecture,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,2,
57,Refactored test cases.,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,,,,3,
58,Rename test according to tested class.,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,,,,3,
59,"Simplified config, switched to permissions system!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
60,Switch examples over to use the new style of mounting pages; remove all dependencies on wicketstuff.,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,,,3,
61,possible to do an arbitrarily long traversal in Gremlin/Faunus.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
62,o Fixed dependency management to match Maven 1.x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
63,Minor ByteBufUtils clean up,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,2,
64,[WIP] Structural and API refactor in preparation for ejb-client 3.0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,,,,4,
65,Introduced appendAsHtmlEncoded method to combat cross site scripting. (Using Apache Commons string utils class to do HTML encoding at the moment.),1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
66,Improve charset handling in the AJP parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
67,persistence layer cleared in api,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
68,analytics: rename BusinessAccountField to BusinessAccountFieldModelDao,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
69,"New logic for creating images, previews for theme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
70,Always cache the context if it is global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
71,improve WallFilter,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,3,
72,fix (mostly) for 1.6.1.  Still waiting on Vanilla modules to support double health values.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
73,chore(engine): reduce log level on bad user input and optimistic locking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
74,SEAMFORGE-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
75,"[FIX] XQuery, http:send-request, allow empty sequence as body ",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
76,initial traceland site,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
77,restructure tests in features-edb-core,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
78,adjust to new api and conditions,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,2,
79,"Created a common interface for path finders, named PathFinder. Currently only AStart, SingleStepShortestPathsFinder and LevelShortestPathsFinder implement it but more is to come.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,2,
80,"Add RDFParserOutputIterator interface which is both a StreamRDF and an Iterator<T>, add implementations for Triples, Quads and Tuples based on using an ArrayBlockingQueue as a buffer between parser input to the StreamRDF interface and output via the Iterator<T> interface",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
81,Rename UnderFileStatus -> UfsStatus,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
82,HIVE-3514 Refactor Partition Pruner so that logic can be reused. (Gang Tim Liu via namit),1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
83,Failing end-to-end test for sending and receiving session messages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
84,"Kommunikation angepasst, readMac funktioniert mit MockDevice",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
85,Fixed - Conference.terminator is no longer required [No Ticket],0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,,,,4,
86,"reporting:   * Added a utility to calculate relative date (e.g. one year ago)  * Added more handlers for rendering (just attached @Handler)  * Fixed run report"" to use available renders (need to constrain by report definition)""",1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,6,
87,Fix: Avoid ObjectAlreadyExistsException because one already exists with this identification.,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,,,2,
88,HV-1166 Supporting type-level arguments on any type parameter;,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,2,
89,[misc] Replaced deprecated method calls. [misc] Use the hidden documents query filter instead of black listed spaces. [misc] Refactor HTMLCleaner tests.,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,,,,7,
90,"REST API implementations, webapp bugs & improvements - ACT-138 Create REST API for Manage list of jobs"" - ACT-139 ""REST API for Manage list of deployments"" - Create new ActivitiPagingWebscript that automatcally handles paging automagically thanks to Query & QueryProperty engine classes - Made all webscripts reutrning list data handle paging (except list of tables since there is no support for that in the api) - Introduced a Activiti.widget.DataList (that works just like Activiti.widget.Datatable but has ""list like styling"" like the task-list) - Made the data table fields optional for the Activiti.widget.DataTable and made it the last parameter to the constructor - Fixed bug when data table sometimes didn't get loaded if url contained the data to load in an event",1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,,,,7,
91,entitlement: move the add-ons cancellation computation to EventsStream,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
92,First Implementation for CatalogRecordsToolTip for Metadata Excluded to add on GPLayerTreeWidget TODO : FIX a lot of problems relative to CatalogRecordsToolTip Control Flow,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,,,,4,
93,Just realised the problem with this approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
94,Changed the storage format to: 1) Make it faster to read relation information without having to read properties of the relation (i.e. header only) by writing the relation and vertexDiffId backward 1) Moving the value for properties into the value part of the entry to allow longer properties than 1^15 byte.,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,,,,6,
95,Moved northwind jpa tests + model into new .northwind package,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
96,Renamed the method from getRate() to calculateRate().,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
97,Placed all into a single root package.,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,,,,5,
98,"Clean up, fix typos.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,3,
99,Fixed do not reconnect in some os and fd leak when reconnec failed,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,1,
100,added obscuration service,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,3,
101,CLEREZZA-59: issue closed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
102,Fixed serialization of array nodes,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,4,
103,Improvements to support for Account usage endpoint. Added doc block for getUsage method. Added example for retrieving account usage objects.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
104,Add test in hopes to reproduce null indexvalue issue,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,2,
105,Make sure to resubmit service if Cybernode fails to create it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
106,Mapbox Styles - Symbol layer transformer implementation + visual-perceptual tests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
107,Changes that didn't get into the last commit.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
108,centralize header element removal in reduce reads,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,4,
109,fixes JOO-77 http://jangaroo.myjetbrains.com/youtrack/issue/JOO-77 Imported class not generated in time during EXML compilation,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,,,,6,
110,"removed simple feature parameter, making the operator usable from command line again",1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
111,Various small fixes for CalculateGenotypePosteriors based on feedback from guys in Ben Neale's group.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
112,jetty-9 combined the Container and AggregateLifeCycle into ContainerLifeCycle,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
113,upport for creation of remote sources and development mode,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,2,
114,Documentation for org.ccnx.ccn.impl.encoding package.,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,4,
115,Slowly refactoring out the dependence on RVM.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
116,[GEOT-5690] Make MongoDB usable as a data store in app-schema,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,3,
117,"reporting:    * Implemented mock indicator service.  * Implemented indicator management user stories (create, view, update, delete).   * Added jquery libraries for autocomplete, dialog, dataTables, editable, ui, and field features.   * Implemented autocomplete, dataTables, and dialog features.  * Moved thickbox into it's own directory (didn't make sense under jquery).  * Organized CSS, javascript, images under module resources directory.  * Implemented UI for dataset management.  * Added mockup of reporting dashboard that should be implemented.",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
118,Moved to migrating ruleset,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,1,
119,Claim command refactoring in progress.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
120,ARQ-535 Add JMX Lookup for WebArchives to extract ProtocolMetaData for Servlets,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
121,pagination work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
122,"MAHOUT-1181: Wean distributed SSVD from apache-math dependency, use updated Mahout's native eigen solver.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
123,o Upgrade junit dependency to 4.4 o PAXWICKET-13   o Commit serialization code and test.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,3,
124,"do not change get/put/bringonline request status to READY state until client actually updates the status, thus making sure that requests that are 'orphans' do not take the transfer slots",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,3,
125,Replace PacketType annotation by an enum,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
126,code refactoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
127,1346187 feature; Mapping Builder API first draft;,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,1,
128,core fields: fix text field tests,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,1,
129,Implemented some facade methods. Fixed generics at some places.,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,2,
130,moved the bridge code to a bridge package,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
131,Add UTs and fix TemporaryInputFormat (#413).,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,2,
132,reworked property view so it is not dependent on static session.,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
133,bug-fix: Lesson credits calculation was wrong.,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,3,
134,[FABRIC-1151] Fix common FabricCreateCommandTest,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,,,,4,
135,"tabs replaced by spaces, fixed typos --no functional changes--",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,1,
136,Jsf's test was replaced by mistake instead of JSP's test.,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,4,
137,Making progress with RgbColor and ImageAssert.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
138,"change method of setting editable. Make usable outside of WebScarab framework, by reading in messages from commandline or stdin",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,4,
139,XWIKI-10340: Update scheduler job class in a MandatoryDocumentInitializer XWIKI-10339: Initialize Scheduler plugin jobs in a separated thread,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,3,
140,Refactor Heritable->HeritableComponent.  Use class instead of object to get aggregates by class.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
141,Code cleanup and properly synchronized.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,3,
142,Update support for UUIDs Update GWT tests Rename JsResource and Factory to JsonResource,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
143,Move ClassPathUtils to querydsl-codegen with required dependencies. Restore Reflection API dependency scope to test.  Change package names in troubleshooting.xml.,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
144,Converted cacheName --> cacheId and userGivenCacheName --> cacheName,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
145,Do not reposition if index and alignment is empty.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
146,Bug 154011 Implement new LinkBundleFactory service (rfc 138),0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,4,
147,Use Redis client configuration to configure connection factories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
148,Refactorted Simple packages.,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,3,
149,Complete the indexOfAny() method set,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
150,SLICE-8 Rework mapper initialization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
151,fix issues JBIDE-8198 https://issues.jboss.org/browse/JBIDE-8198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
152,merging into svn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
153,Fix test class names,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
154,Moved the getActivePart() method from the ViewOpener class to the ActivePart class.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
155,"Changed test to check whether node has event registration or not instead of actually waiting events of the listener. Since it is a configuration test, it should test the registration.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
156,ISIS-411: eager rendering of properties in RO.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
157,Bug 183345: [Mac] Quitting Eclipse with Command-Q shortcut should confirm or be optional,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,,,,3,
158,Add Perf client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
159,1nd batch of changes for Bug 449659 - [1.8][compiler] Investigate status of disabled generics tests ,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,,,,2,
160,"MATH-599 Name change to avoid test failure on the automated build system (gump"").""",1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
161,MiniMaven: no need to walk the hierarchy when looking for cached POMs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
162,Apply and restore color button value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
163,removed getBounds from Rendering,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
164,Moved the JUnitXMLReader class and the JUnitXMLReaderListener interface into the com.piece_framework.makegood.core.run package.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
165,178006 [build path] support new ClasspathContainerInitialization API,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,2,
166,"Implementation of additional parameter specification for indexes. These parameters can modify the behavior of the index. For instance, a mapping specification is now supported for ES and Lucene when it comes to strings (index them as TEXT or STRING). This fixes #410.",1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,3,
167,Moved the amp-store related command to the activemq-amqp-store module.  Hand to introduce dynamic Command discovery to get this working and remove the compile time dependency on activemq-spring from the activemq-console module.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
168,Glitch in commit...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
169,Minor improvements in inspect page.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
170,refactored uibinder support into its own standalone module,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,3,
171,Fixed two minor bugs SOAP-933,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,,,,2,
172,Moved the Marshaller interfaces into hawtbuf.. renamed to Codec,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
173,"[PLAT-1671], [PLAT-1671] Created the swap futures (Definition and Derivative). Implemented a pricing method in one-factor Hull-White.",0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,,,,3,
174,Added option to generate methods from definitions found in the current scope.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
175,Working on client-side support.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
176,[139151] [ACC] Schema editor design page not keyboard navigable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
177,DDF-1715: Making Point of Contact read-only (#1708),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
178,MAHOUT-913 many small style changes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
179,moved and consolidated json utilities,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
180,Android: Refactor server selection.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,2,
181,"HIVE-14119: the jars in hive.aux.jar.paths are not added to session classpath (Aihua Xu, reviewed by Mohit Sabharwal)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
182,Hacks to get deployment working.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
183,final fixes and package movements before release,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,,,,5,
184,"XWIKI-4741: Migrate jcaptcha implementation to component model: Clean up, moved configuration to CaptchaConfiguration, added DefaultXWikiCaptchaService, XWikiCaptchaService interface, componentized velocity ",1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,,,,6,
185,"fixes: md5 hash, gui syntax highlighting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
186,HBASE-1587 Corral where tests write data when running and make sure clean target removes all written; reverting part of last commit... a mistake,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,6,
187,Refactor: - TextureData to handle Pixmap and Custom TextureType - TextureData consumeCompressedData to consumeCustomData - GLTexture function to uploadImageData to custom mipmap level,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
188,added mongoutils,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
189,Servlet async fixes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
190,beginning of client registration refactor to track IETF dynreg spec,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
191,Adding log warning for users of older Mac OS X versions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
192,Change from file handler to a more generic resource handler setup,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,4,
193,Much more work on import handling with copy and Move unit #613,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,2,
194,MNGECLIPSE-1014: Deleting projects from a working set leaves Package Explorer display in corrupted state,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,3,
195,Progress on ERRAI-611: Deferred array marshalling working,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
196,ISPN-879 Stale locks held when transactions are aborted by a transaction manager,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,2,
197,Break out code from private classes,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
198,"Webdriver tests: add page switch tests, delays and debug info",1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
199,Moves RecurringProcessible(Executor) from a private/impl package to a public org.jitsi.util.concurrent (as suggested by Boris Grozev).,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
200,Broaden credentials test coverage - allow null private key,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,4,
201,JETTY-796 jetty ant plugin improvements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
202,Squashed commit of the following:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
203,Now WizardTester is injectable into tests and setInitialSelection is introduced,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,4,
204,Polish up border bypass handling a bit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
205,[PLAT-1758] Added more tests and transfer the compare to a test util.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
206,corrected return type for getting a metadata value,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,,,3,
207,support new template extends declaration style,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
